目录,文件名,中文名称,尺寸,AI提示词（英文）,AI提示词（中文）
frontend/public/images/animals/,cat.png,小猫,512x512,"A cute cartoon cat, sitting pose, big eyes, pink and white colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通小猫， sitting pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,dog.png,小狗,512x512,"A cute cartoon dog, sitting pose with tongue out, brown and beige colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通小狗， sitting pose with tongue out，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,chicken.png,小鸡,512x512,"A cute cartoon chicken, standing pose, yellow and orange colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通小鸡， standing pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,duck.png,鸭子,512x512,"A cute cartoon duck, swimming pose, yellow body with orange beak for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通鸭子， swimming pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,pig.png,小猪,512x512,"A cute cartoon pig, sitting pose, pink color with curly tail for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通小猪， sitting pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,rabbit.png,兔子,512x512,"A cute cartoon rabbit, sitting pose with long ears, white and pink colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通兔子， sitting pose with long ears，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,sheep.png,小羊,512x512,"A cute cartoon sheep, standing pose, fluffy white wool for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通小羊， standing pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,cow.png,奶牛,512x512,"A cute cartoon cow, standing pose, black and white spots for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通奶牛， standing pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,horse.png,小马,512x512,"A cute cartoon horse, standing pose, brown color with black mane for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通小马， standing pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,goose.png,鹅,512x512,"A cute cartoon goose, standing pose, white feathers with orange beak for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通鹅， standing pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
