目录,文件名,中文名称,尺寸,AI提示词（英文）,AI提示词（中文）
frontend/public/images/animals/,cat.png,小猫,512x512,"A cute cartoon cat for children's education app, simple and friendly style, sitting pose, big eyes, smiling, pastel colors (pink and white), white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通小猫，儿童教育风格，简单友好，坐姿，大眼睛，微笑，粉白色调，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,dog.png,小狗,512x512,"A cute cartoon dog for children's education app, simple and friendly style, sitting pose with tongue out, big eyes, happy expression, pastel colors (brown and beige), white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通小狗，儿童教育风格，简单友好，坐姿吐舌头，大眼睛，开心表情，棕色和米色，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,panda.png,熊猫,512x512,"A cute cartoon panda for children's education app, simple and friendly style, sitting pose eating bamboo, big round eyes, chubby body, black and white colors, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通熊猫，儿童教育风格，简单友好，坐姿吃竹子，大圆眼睛，胖乎乎的身体，黑白色，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,chicken.png,小鸡,512x512,"A cute cartoon chicken for children's education app, simple and friendly style, standing pose, big eyes, small wings, yellow and orange colors, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通小鸡，儿童教育风格，简单友好，站立姿势，大眼睛，小翅膀，黄色和橙色，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,duck.png,鸭子,512x512,"A cute cartoon duck for children's education app, simple and friendly style, swimming pose, big eyes, yellow body with orange beak, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通鸭子，儿童教育风格，简单友好，游泳姿势，大眼睛，黄色身体橙色嘴巴，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,pig.png,小猪,512x512,"A cute cartoon pig for children's education app, simple and friendly style, sitting pose, big eyes, pink color, curly tail, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通小猪，儿童教育风格，简单友好，坐姿，大眼睛，粉色，卷尾巴，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,cow.png,奶牛,512x512,"A cute cartoon cow for children's education app, simple and friendly style, standing pose, big eyes, black and white spots, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通奶牛，儿童教育风格，简单友好，站立姿势，大眼睛，黑白斑点，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,sheep.png,绵羊,512x512,"A cute cartoon sheep for children's education app, simple and friendly style, standing pose, big eyes, fluffy white wool, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通绵羊，儿童教育风格，简单友好，站立姿势，大眼睛，蓬松白色羊毛，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,horse.png,马,512x512,"A cute cartoon horse for children's education app, simple and friendly style, standing pose, big eyes, brown color with black mane, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通马，儿童教育风格，简单友好，站立姿势，大眼睛，棕色身体黑色鬃毛，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
frontend/public/images/animals/,rabbit.png,兔子,512x512,"A cute cartoon rabbit for children's education app, simple and friendly style, sitting pose with long ears, big eyes, white and pink colors, carrot nearby, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids","可爱的卡通兔子，儿童教育风格，简单友好，坐姿长耳朵，大眼睛，白色和粉色，旁边有胡萝卜，白色背景，扁平设计，矢量风格，适合3-6岁儿童"
